|__name,|__business_status,|__geometry__location__lat,|__geometry__location__lng,|__geometry__viewport__|,|__place_id,|__vicinity,|__opening_hours__open_now,|__permanently_closed
Victor's Cafe,CLOSED_TEMPORARILY,40.7628851,-73.9841351,northeast,ChIJv6RszFdYwokR-moeAHqLAhM,"236 West 52nd Street, New York",,TRUE
,,,,southwest,,,,
La Masseria NY,OPERATIONAL,40.760885,-73.9863,northeast,ChIJjfIegVZYwokRyqdwvzBC27s,"235 West 48th Street, New York",FALSE,
,,,,southwest,,,,
Marseille,OPERATIONAL,40.7597589,-73.9914186,northeast,ChIJDf7etFNYwokR_b7pJ_D2_dM,"630 9th Avenue, New York",TRUE,
,,,,southwest,,,,
Toloache,OPERATIONAL,40.7622222,-73.9856194,northeast,ChIJF1z8WVZYwokRcHYOJm2rIXA,"251 West 50th Street, New York",TRUE,
,,,,southwest,,,,
Bubba Gump Shrimp Co.,OPERATIONAL,40.7572071,-73.9863737,northeast,ChIJh3tl5lRYwokRzzrdicL9JxY,"1501 Broadway, New York",TRUE,
,,,,southwest,,,,
Aureole at Home,OPERATIONAL,40.755633,-73.985258,northeast,ChIJp4zfw-9YwokR5V6tmTVAuBI,"135 West 42nd Street, New York",FALSE,
,,,,southwest,,,,
Dallas BBQ Times Square,OPERATIONAL,40.7569778,-73.988775,northeast,ChIJn5a71FRYwokRGB7grb84QaI,"241 West 42nd Street, New York",TRUE,
,,,,southwest,,,,
Ruth's Chris Steak House,OPERATIONAL,40.7613253,-73.9822581,northeast,ChIJR4dOl_hYwokRApSCaQiBidk,"148 West 51st Street, Manhattan",FALSE,
,,,,southwest,,,,
Churrascaria Plataforma,OPERATIONAL,40.7619155,-73.9877325,northeast,ChIJP9idxlZYwokRLH-I1mNfzYQ,"316 West 49th Street, New York",FALSE,
,,,,southwest,,,,
Rincon Del Sabor Latino,OPERATIONAL,40.7577114,-73.9815386,northeast,ChIJu-nrDP9YwokRTc_VuQzHBQw,"74 West 47th Street, New York",TRUE,
,,,,southwest,,,,
Koi New York,OPERATIONAL,40.7528962,-73.9837762,northeast,ChIJz7hChqpZwokRSdJ1jl4b8sA,"40 West 40th Street, New York",TRUE,
,,,,southwest,,,,
Utsav,OPERATIONAL,40.7579956,-73.9828606,northeast,ChIJgYWke_9YwokRNUclYG3dn08,"1185 6th Avenue, New York",TRUE,
,,,,southwest,,,,
The Iridium,OPERATIONAL,40.761896,-73.983525,northeast,ChIJ_85dJlZYwokRzdVz7YJQOWs,"1650 Broadway, New York",FALSE,
,,,,southwest,,,,
Sky Room,OPERATIONAL,40.756515,-73.992446,northeast,ChIJYwxW1VJYwokRSbbYKXa0YUw,"330 West 40th Street, New York",FALSE,
,,,,southwest,,,,
Bowlmor Times Square,OPERATIONAL,40.7574806,-73.987442,northeast,ChIJUf2r9FRYwokRKrasyV7rvwQ,"222 West 44th Street, New York",FALSE,
,,,,southwest,,,,
Bill's Bar & Burger,OPERATIONAL,40.7592896,-73.9775348,northeast,ChIJnXTBVPlYwokRaH_hnZ7myUc,"16 West 51st Street, New York",TRUE,
,,,,southwest,,,,
Tick Tock Diner NY,OPERATIONAL,40.75242,-73.993544,northeast,ChIJKUvC6K1ZwokR-6gilCP_YRg,"481 8th Avenue, New York",TRUE,
,,,,southwest,,,,
Ai Fiori,OPERATIONAL,40.7500752,-73.9837835,northeast,ChIJMYIE-KlZwokRZuFHn8jkNuo,"400 5th Avenue #2, New York",,
,,,,southwest,,,,
